location_id,borough,borough_id,latitude,longitude,listing_id
4901,Co-op City,1,40.8609034,-73.8256177,4227144
4902,Harlem,3,40.8058,-73.94759,4629599
4903,Schuylerville,1,40.83668137,-73.83421326,4169094
4904,Crown Heights,2,40.67345612,-73.91813018,32292954
4905,Rosedale,4,40.65903,-73.73405,83901178
4906,Wakefield,1,40.9009511,-73.8455246,73931549
4907,West Brighton,5,40.63276,-74.10573,302280
4908,Concord,5,40.60035,-74.09103,32799550
4909,Prospect-Lefferts Gardens,2,40.65914536,-73.95812225,88277948
4910,Corona,4,40.73766327,-73.86444855,54318636
4911,Maspeth,4,40.72678,-73.90448,73210980
4912,Morrisania,1,40.82792,-73.91151,50591009
4913,Harlem,3,40.82352,-73.94887,712136
4914,Melrose,1,40.82298,-73.91561,408983
4915,Ditmars Steinway,4,40.77443,-73.91462,49899440
4916,Prospect-Lefferts Gardens,2,40.66029693,-73.94700145,363016
4917,Crown Heights,2,40.67564,-73.94371,46856605
4918,Prospect-Lefferts Gardens,2,40.65843,-73.95019,31897516
4919,Springfield Gardens,4,40.65995974,-73.75956697,68491832
4920,Crown Heights,2,40.67343,-73.9404,28185576
4921,Bedford-Stuyvesant,2,40.68528,-73.93984,95890959
4922,Harlem,3,40.82143,-73.94734,47020052
4923,Harlem,3,40.8219,-73.95403,96311636
4924,Sunnyside,4,40.74401,-73.91331,86085862
4925,Ditmars Steinway,4,40.77868,-73.90652,47453310
4926,Williamsburg,2,40.71499,-73.9599,44477235
4927,Williamsburg,2,40.72172,-73.96155,31857472
4928,Tompkinsville,5,40.63133,-74.0912,47483640
4929,Harlem,3,40.82542,-73.94845,5233345
4930,East Elmhurst,4,40.7632,-73.86946,52689
4931,Financial District,3,40.70867,-74.00499,5520934
4932,Harlem,3,40.81945169,-73.9538824,2404708
4933,Rockaway Beach,4,40.58752,-73.81549,47286267
4934,East New York,2,40.66762,-73.89573,97773269
4935,Fort Greene,2,40.68489,-73.97167,38646409
4936,Washington Heights,3,40.84946,-73.94053,2454507
4937,Ditmars Steinway,4,40.7786378,-73.9072683,80674059
4938,Harlem,3,40.82498,-73.95343,18595831
4939,Jamaica,4,40.69354854,-73.8091708,32607488
4940,Sheepshead Bay,2,40.60022,-73.96069,1778810
4941,Washington Heights,3,40.83477,-73.94257,50870707
4942,Williamsburg,2,40.71222,-73.94431,68152043
4943,East New York,2,40.66802,-73.89382,4753639
4944,East New York,2,40.65738,-73.87999,10088989
4945,Fresh Meadows,4,40.75247,-73.78604,51774310
4946,Woodside,4,40.74367,-73.91201,2430828
4947,Crown Heights,2,40.67561,-73.93118,40134763
4948,Prospect Heights,2,40.67874,-73.96706,32619108
4949,East New York,2,40.66062,-73.8991,53797580
4950,Harlem,3,40.82075,-73.95658,48334556
4951,Crown Heights,2,40.67066,-73.92228,52858606
4952,Melrose,1,40.82156,-73.92039,3758686
4953,East New York,2,40.66044,-73.89917,77028587
4954,Claremont Village,1,40.84165808,-73.90903517,4645319
4955,South Slope,2,40.66383,-73.98145,52343745
4956,Jamaica,4,40.68715,-73.78011,48995084
4957,Jackson Heights,4,40.7545,-73.89295,51107449
4958,Harlem,3,40.8303,-73.94079,33835992
4959,Stapleton,5,40.62613,-74.07805,34592997
4960,Westchester Square,1,40.83699838,-73.84751938,49014923
4961,Prospect Heights,2,40.67884,-73.96835,50975371
4962,East New York,2,40.67343,-73.87391,77459833
4963,Fort Greene,2,40.69231,-73.96967,31293545
4964,Richmond Hill,4,40.69927,-73.82916,51363890
4965,Fort Greene,2,40.68848,-73.97752,80195096
4966,Washington Heights,3,40.84477,-73.94154,50546202
4967,4 Village,4,40.71265,-73.73941,72447473
4968,4 Village,4,40.71454312,-73.73957639,8069030
4969,Williamsburg,2,40.70829,-73.94852,19500346
4970,Crown Heights,2,40.66628,-73.93904,4820897
4971,College Point,4,40.78092,-73.84404,4823105
4972,Rosedale,4,40.65731,-73.74666,72620510
4973,East New York,2,40.66975,-73.89516,78499234
4974,Washington Heights,3,40.84361,-73.93908,4880542
4975,Jamaica,4,40.6937026,-73.80697661,10282105
4976,Jamaica,4,40.6932,-73.80916,10257345
4977,Bedford-Stuyvesant,2,40.69473,-73.94553,35012500
4978,Prospect-Lefferts Gardens,2,40.66095,-73.95916,32617384
4979,Midland Beach,5,40.57455,-74.09366,48910461
4980,Bayside,4,40.764144,-73.7709638,10023660
4981,Williamsburg,2,40.70944,-73.95551,10052151
4982,Harlem,3,40.80818,-73.94964,40922899
4983,Canarsie,2,40.64558,-73.89528,3067244
4984,Crown Heights,2,40.67126,-73.93853,34844071
4985,Rosedale,4,40.65263,-73.73418,66883598
4986,Clinton Hill,2,40.68264,-73.96353,3349699
4987,Tompkinsville,5,40.63286,-74.08022,7194538
4988,Brighton Beach,2,40.57737,-73.96274,25503835
4989,Prospect-Lefferts Gardens,2,40.66175,-73.94176,40615352
4990,Morningside Heights,3,40.80689,-73.96579,71900862
4991,Prospect-Lefferts Gardens,2,40.66164,-73.95254,17832214
4992,Holliswood,4,40.71930159,-73.77319314,41270387
4993,Crown Heights,2,40.67354,-73.93885,43803118
4994,Gowanus,2,40.67607,-73.98493,10188330
4995,Harlem,3,40.824,-73.94862,50679257
4996,Ditmars Steinway,4,40.77104382,-73.91218408,50684236
4997,Prospect-Lefferts Gardens,2,40.66018,-73.93995,95640111
4998,Williamsburg,2,40.70752,-73.95421,51743232
4999,Prince's Bay,5,40.52034,-74.20516,49692782
5000,Williamsburg,2,40.71622086,-73.9575882,54210008
5001,Harlem,3,40.82317,-73.94408,93613803
5002,Williamsburg,2,40.71205,-73.9399,51747397
5003,Harlem,3,40.82603,-73.9437,51764135
5004,Far Rockaway,4,40.5986,-73.75043,68109587
5005,Jackson Heights,4,40.75193,-73.88351,49633075
5006,Windsor Terrace,2,40.65958,-73.97883,73153464
5007,Greenpoint,2,40.73076,-73.95678,51170954
5008,Jackson Heights,4,40.75435,-73.86729,50852463
5009,Oakwood,5,40.56005859,-74.11898041,75702227
5010,Chinatown,3,40.7187,-73.99572,50893315
5011,Arverne,4,40.59067,-73.79479,50890282
5012,Tottenville,5,40.50848895,-74.24308594,57517755
5013,Stapleton,5,40.62723,-74.08004,51251635
5014,Tottenville,5,40.50863,-74.24135,50578877
5015,Sunnyside,4,40.74012,-73.92727,57594035
5016,Harlem,3,40.82366,-73.94514,61323011
5017,Harlem,3,40.82585,-73.94898,80389175
5018,Ditmars Steinway,4,40.77661,-73.91903,51263392
5019,South Ozone Park,4,40.67325089,-73.79178104,639199
5020,South Ozone Park,4,40.6720111,-73.811453,51290734
5021,Jamaica,4,40.6860034,-73.8053411,18430588
5022,Williamsburg,2,40.71652285,-73.95379968,54209577
5023,Middle Village,4,40.71734,-73.87805,52072231
5024,Crown Heights,2,40.67435,-73.92585,84428240
5025,Oakwood,5,40.56005859,-74.11898041,75094154
5026,Rosedale,4,40.65696,-73.7286,85627422
5027,Greenpoint,2,40.7202946,-73.9544731,92904055
5028,Crown Heights,2,40.6757945,-73.9486109,9919728
5029,Greenpoint,2,40.73139327,-73.95810781,53099144
5030,Williamsburg,2,40.71228,-73.96428,50578893
5031,Oakwood,5,40.56005859,-74.11898041,14262636
5032,Williamsburg,2,40.71039,-73.95965,53224463
5033,Middle Village,4,40.72301,-73.88021,80080618
5034,Financial District,3,40.7098301,-74.0096846,92019448
5035,Jamaica,4,40.67243,-73.77959,53259051
5036,Chinatown,3,40.71895,-73.99639,50863511
5037,Hollis,4,40.71343,-73.76253,49964381
5038,Crown Heights,2,40.67157729,-73.92962581,53971055
5039,Dongan Hills,5,40.58151,-74.08876,92039383
5040,Concourse,1,40.83664,-73.91801,24853936
5041,Tompkinsville,5,40.63205,-74.09133,50034823
5042,Prospect-Lefferts Gardens,2,40.66139,-73.9529,53450489
5043,Port Richmond,5,40.63164,-74.13201,50129322
5044,Sunnyside,4,40.73856,-73.92431,6739145
5045,Greenpoint,2,40.72090354,-73.9405365,53909434
5046,Rosedale,4,40.6651009,-73.7437979,41614248
5047,East Elmhurst,4,40.7642,-73.87757,51466826
5048,Fort Greene,2,40.693,-73.97243,46991303
5049,Crown Heights,2,40.6774,-73.95546,50229441
5050,Harlem,3,40.80624,-73.95634,86740487
5051,East New York,2,40.66938,-73.88925,73242359
5052,Crown Heights,2,40.67114,-73.92511,53262764
